Host Id;Host Since;Name;Neighbourhood;Property Type;Review Scores Rating (bin);Room Type;Zipcode;Beds;Number of Records;Number Of Reviews;Price;Review Scores Rating
3062206;2015-06-18T00:00:00Z;Sunny Renovated One Bedroom;Brooklyn;Apartment;90;Entire home/apt;11213;1;1;3;85;93
36213691;2015-06-19T00:00:00Z;Fantastic rm in historic bklyn area;Brooklyn;Apartment;100;Private room;11221;1;1;4;45;100
36225155;2015-06-19T00:00:00Z;Spacious Brooklyn Retreat;Brooklyn;Apartment;100;Private room;11222;1;1;2;70;100
36271729;2015-06-20T00:00:00Z;Private Room 1 block from Train!;Brooklyn;Apartment;100;Private room;11206;1;1;1;70;100
36388501;2015-06-21T00:00:00Z;Nice room, very close to the subway;Brooklyn;Apartment;90;Private room;11206;1;1;2;50;90
36384340;2015-06-21T00:00:00Z;Private Bedroom + Your Own Bathroom;Brooklyn;Apartment;95;Private room;11213;1;1;4;75;95
36376966;2015-06-21T00:00:00Z;Crash futon matress in living room;Brooklyn;Apartment;90;Shared room;11218;1;1;7;32;93
36410369;2015-06-22T00:00:00Z;Clean, Comfortable, Private Room;Brooklyn;Apartment;90;Private room;11213;2;1;2;50;90
36549042;2015-06-23T00:00:00Z;Classic Williamsburg loft bedroom;Brooklyn;Apartment;90;Private room;11206;1;1;5;50;92
36549042;2015-06-23T00:00:00Z;Room in Modern Williamsburg Loft;Brooklyn;Apartment;100;Private room;11206;2;1;1;50;100
36537536;2015-06-23T00:00:00Z;Private Room and Bathroom;Brooklyn;Apartment;90;Private room;11211;1;1;4;95;90
36546997;2015-06-23T00:00:00Z;Cozy Spot above Lorimer Stop!;Brooklyn;Apartment;100;Shared room;11211;2;1;1;70;100
36567e3;2015-06-23T00:00:00Z;3rd room available in railroad apt.;Brooklyn;Apartment;100;Shared room;11222;1;1;2;45;100
36611385;2015-06-24T00:00:00Z;Big private room. Subway );Brooklyn;Apartment;90;Private room;11210;2;1;6;79;93
36727786;2015-06-25T00:00:00Z;Spacious & Cozy Williamsburg Apt;Brooklyn;Apartment;100;Private room;11211;1;1;2;85;100
36787661;2015-06-26T00:00:00Z;Private Room w/ Queen Size Bed;Brooklyn;Apartment;90;Private room;11205;1;1;7;68;94
36759241;2015-06-26T00:00:00Z;Sunny Room, Private and Safe;Brooklyn;Apartment;90;Private room;11222;1;1;7;95;94
36883838;2015-06-27T00:00:00Z;Private room with full bed in BK;Brooklyn;Apartment;90;Private room;11222;1;1;2;95;90
36907706;2015-06-28T00:00:00Z;Private room in the best part of BK;Brooklyn;Apartment;100;Private room;11213;1;1;3;48;100
36941267;2015-06-28T00:00:00Z;Sunny Private Room w. Private Bath;Brooklyn;Apartment;100;Private room;11221;1;1;3;65;100
36983988;2015-06-28T00:00:00Z;Neat room @ communal brwnstone BKLN;Brooklyn;Apartment;90;Private room;11238;1;1;2;65;90
37004111;2015-06-29T00:00:00Z;Great studio apartment;Brooklyn;Apartment;90;Entire home/apt;11226;1;1;3;90;93
37070645;2015-06-29T00:00:00Z;Location location location;Brooklyn;Apartment;100;Private room;11206;1;1;5;90;100
37091023;2015-06-29T00:00:00Z;Lovely private room with half bath;Brooklyn;Apartment;100;Private room;11215;1;1;1;100;100
37149695;2015-06-30T00:00:00Z;Sunny Private Room in Bushwick;Brooklyn;Apartment;90;Private room;11221;1;1;6;50;93
37166807;2015-06-30T00:00:00Z;Sunny private room close to all;Brooklyn;Apartment;90;Private room;11232;1;1;2;58;90
37245939;2015-07-01T00:00:00Z;Bright Bay Ridge Apartment;Brooklyn;Apartment;100;Entire home/apt;11209;1;1;1;67;100
37240458;2015-07-01T00:00:00Z;Big, bright, cozy room in Brooklyn!;Brooklyn;Apartment;100;Private room;11213;1;1;5;60;100
37317283;2015-07-02T00:00:00Z;Sunny room in East Williamsburg;Brooklyn;Apartment;100;Private room;11206;1;1;1;60;100
37322533;2015-07-02T00:00:00Z;Spacious, Bright Room w/ Queen Bed!;Brooklyn;Apartment;100;Private room;11206;1;1;2;62;100
37436208;2015-07-03T00:00:00Z;Spacious Room Near Park and Subway;Brooklyn;Apartment;95;Private room;11226;1;1;5;40;96
37503617;2015-07-04T00:00:00Z;Modern and spacious in Bed Stuy;Brooklyn;Apartment;100;Entire home/apt;11206;1;1;2;100;100
37509264;2015-07-04T00:00:00Z;CUTE, Spacious Room (LGBT) friendly;Brooklyn;Apartment;90;Private room;11226;1;1;19;50;93
37563411;2015-07-05T00:00:00Z;Cozy Room in the Heart of Brooklyn!;Brooklyn;Apartment;100;Private room;11225;1;1;2;50;100
37727503;2015-07-06T00:00:00Z;Beautiful bedroom in Park Slope;Brooklyn;Apartment;100;Private room;11215;1;1;3;80;100
37683301;2015-07-06T00:00:00Z;Huge, sunny room just for you!;Brooklyn;Apartment;100;Private room;11233;1;1;3;75;100
37731839;2015-07-06T00:00:00Z;Room in Bushwick;Brooklyn;Apartment;100;Private room;11237;1;1;1;35;100
37780321;2015-07-07T00:00:00Z;Restorative room w/ Queen size bed;Brooklyn;Apartment;90;Private room;11238;1;1;2;80;90
37780321;2015-07-07T00:00:00Z;Daybed with privacy curtain;Brooklyn;Apartment;100;Shared room;11238;1;1;2;56;100
37915862;2015-07-08T00:00:00Z;Cozy Studio Duplex;Brooklyn;Apartment;95;Entire home/apt;11207;1;1;7;68;97
37909396;2015-07-08T00:00:00Z;Shared Apt Private bedroom;Brooklyn;Apartment;100;Private room;11225;1;1;2;50;100
37849636;2015-07-08T00:00:00Z;My cozy artistic Apartment;Brooklyn;Apartment;100;Shared room;11229;1;1;1;45;100
38117412;2015-07-10T00:00:00Z;Sunny Studio in Bed-Stuy Brooklyn;Brooklyn;Apartment;90;Entire home/apt;11233;1;1;4;95;90
38123545;2015-07-10T00:00:00Z;Awesome Room with 2 Beds and Futon;Brooklyn;Apartment;90;Private room;11221;3;1;4;85;90
38123545;2015-07-10T00:00:00Z;Beautiful Room w/ Private Backyard;Brooklyn;Apartment;100;Private room;11221;1;1;2;60;100
38123545;2015-07-10T00:00:00Z;Cozy Room with Full Bed and Futon;Brooklyn;Apartment;90;Private room;11221;2;1;2;70;90
38123545;2015-07-10T00:00:00Z;Delightful Room with Bed and Futon;Brooklyn;Apartment;90;Private room;11221;2;1;2;75;90
38169148;2015-07-11T00:00:00Z;Greenpoint Apt. Perfect Short Term;Brooklyn;Apartment;100;Private room;11222;1;1;1;60;100
38294553;2015-07-12T00:00:00Z;Small One Bedroom BK - Quiet n Cute;Brooklyn;Apartment;100;Entire home/apt;11216;1;1;1;78;100
38394642;2015-07-13T00:00:00Z;Cozy room on lovely St. Marks Ave;Brooklyn;Apartment;95;Private room;11238;1;1;4;80;95
38609509;2015-07-15T00:00:00Z;Brooklyn's finest by Prospect Park;Brooklyn;Apartment;100;Entire home/apt;11225;1;1;2;82;100
38583557;2015-07-15T00:00:00Z;Bohéme 1BR steps from Prospect Park;Brooklyn;Apartment;90;Entire home/apt;11226;2;1;2;99;90
38672291;2015-07-16T00:00:00Z;Bushwick Oasis;Brooklyn;Apartment;90;Private room;11221;1;1;7;59;94
38762262;2015-07-17T00:00:00Z;boho nest furnished bright & fresh;Brooklyn;Apartment;100;Private room;11213;1;1;3;43;100
38757148;2015-07-17T00:00:00Z;Small Room for Rent in Large Duplex;Brooklyn;Apartment;100;Private room;11216;1;1;1;50;100
